封皮,详情,电影名,导演主演,类型,评分,一句话评价
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,https://movie.douban.com/subject/1293182/,十二怒汉,"
                            导演: Sidney Lumet&nbsp;&nbsp;&nbsp;主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...","
                            1957&nbsp;/&nbsp;美国&nbsp;/&nbsp;剧情
                        ",9.4,1957年的理想主义。 
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,https://movie.douban.com/subject/1291858/,鬼子来了,"
                            导演: 姜文 Wen Jiang&nbsp;&nbsp;&nbsp;主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...","
                            2000&nbsp;/&nbsp;中国大陆&nbsp;/&nbsp;剧情 历史 战争
                        ",9.2,对敌人的仁慈，就是对自己残忍。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,https://movie.douban.com/subject/30170448/,何以为家,"
                            导演: 娜丁·拉巴基 Nadine Labaki&nbsp;&nbsp;&nbsp;主演: 扎因·拉费阿 Zain al-Rafeea / ...","
                            2018&nbsp;/&nbsp;黎巴嫩 法国 美国&nbsp;/&nbsp;剧情
                        ",9.1,凝视卑弱生命，用电影改变命运。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,https://movie.douban.com/subject/1291583/,天空之城,"
                            导演: 宫崎骏 Hayao Miyazaki&nbsp;&nbsp;&nbsp;主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...","
                            1986&nbsp;/&nbsp;日本&nbsp;/&nbsp;动画 奇幻 冒险
                        ",9.1,对天空的追逐，永不停止。 
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,https://movie.douban.com/subject/1299398/,大话西游之月光宝盒,"
                            导演: 刘镇伟 Jeffrey Lau&nbsp;&nbsp;&nbsp;主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...","
                            1995&nbsp;/&nbsp;中国香港 中国大陆&nbsp;/&nbsp;喜剧 爱情 奇幻 古装
                        ",9.0,旷古烁今。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,https://movie.douban.com/subject/1308807/,哈尔的移动城堡,"
                            导演: 宫崎骏 Hayao Miyazaki&nbsp;&nbsp;&nbsp;主演: 倍赏千惠子 Chieko Baishô / 木村拓...","
                            2004&nbsp;/&nbsp;日本&nbsp;/&nbsp;动画 奇幻 冒险
                        ",9.0,带着心爱的人在天空飞翔。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559577569.jpg,https://movie.douban.com/subject/1291828/,天堂电影院,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore&nbsp;&nbsp;&nbsp;主演: 安东内拉·阿蒂利 Anton...","
                            1988&nbsp;/&nbsp;意大利 法国&nbsp;/&nbsp;剧情 爱情
                        ",9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,https://movie.douban.com/subject/21937452/,素媛,"
                            导演: 李濬益 Jun-ik Lee&nbsp;&nbsp;&nbsp;主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...","
                            2013&nbsp;/&nbsp;韩国&nbsp;/&nbsp;剧情
                        ",9.2,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,https://movie.douban.com/subject/1293839/,罗马假日,"
                            导演: 威廉·惠勒 William Wyler&nbsp;&nbsp;&nbsp;主演: 奥黛丽·赫本 Audrey Hepburn / 格...","
                            1953&nbsp;/&nbsp;美国&nbsp;/&nbsp;喜剧 剧情 爱情
                        ",9.0,爱情哪怕只有一天。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,https://movie.douban.com/subject/1298624/,闻香识女人,"
                            导演: 马丁·布莱斯 Martin Brest&nbsp;&nbsp;&nbsp;主演: 阿尔·帕西诺 Al Pacino / 克里斯...","
                            1992&nbsp;/&nbsp;美国&nbsp;/&nbsp;剧情
                        ",9.1,史上最美的探戈。
